imagem,nome,preco,categoria,promocao,destaque,ativo
produtos/cigarro_lucky_strike_original_vermelho.png,cigarro Lucky Strike original vermelho,11.50,Geral,FALSE,FALSE,TRUE
produtos/jeitone_cookies.png,jeitone cookies,9.00,Geral,FALSE,FALSE,TRUE
produtos/manteiga_qualy_250g.png,manteiga qualy 250g,7.00,Geral,FALSE,FALSE,TRUE
produtos/6.5.png,6.5,0.00,Geral,FALSE,FALSE,TRUE
produtos/absorvente_diana_com_abas.png,absorvente Diana com abas,6.00,Geral,FALSE,FALSE,TRUE
produtos/absorvente_sempre_livre_com_abas.png,absorvente sempre livre com abas,6.50,Geral,FALSE,FALSE,TRUE
produtos/absorvente_sym_noite_e_dia.png,absorvente Sym noite e dia,7.99,Geral,FALSE,FALSE,TRUE
produtos/acai_180g.png,acai 180g,8.00,Geral,FALSE,FALSE,TRUE
produtos/acetona_beira_alta_90ml.png,Acetona Beira Alta 90ml,4.00,Geral,FALSE,FALSE,TRUE
produtos/acetona_zulu.png,acetona zulu,4.50,Geral,FALSE,FALSE,TRUE
produtos/achocolatado_toddynho_200ml.png,achocolatado toddynho 200ml,4.50,Geral,FALSE,FALSE,TRUE
produtos/açucar_sonoro_2kg.png,açucar sonoro 2kg,10.50,Geral,FALSE,FALSE,TRUE
produtos/agua__crystal1.5l_com_gás.png,agua  crystal1.5l com gás,5.00,Geral,FALSE,FALSE,TRUE
produtos/agua_1.5l_sem_gas.png,agua 1.5l sem gas,5.00,Geral,FALSE,FALSE,TRUE
produtos/agua_500ml_sem_gas.png,agua 500ml sem gas,3.00,Geral,FALSE,FALSE,TRUE
produtos/agua_ardente_51.png,agua ardente 51,19.00,Geral,FALSE,FALSE,TRUE
produtos/agua_coco_puro_coco_180ml.png,agua coco puro coco 180ml,4.00,Geral,FALSE,FALSE,TRUE
produtos/agua_crystal_500ml_com_gás.png,agua crystal 500ml com gás,3.00,Geral,FALSE,FALSE,TRUE
produtos/agua_oxigenada_beira_alta.png,agua oxigenada beira alta,4.00,Geral,FALSE,FALSE,TRUE
produtos/agua_sanitária_ype_1l.png,agua sanitária Ype 1L,6.50,Geral,FALSE,FALSE,TRUE
produtos/agua_tonica_schweppes_350ml.png,agua tonica Schweppes 350ml,4.00,Geral,FALSE,FALSE,TRUE
produtos/alcool_46_inpm_itajá.png,alcool 46 INPM Itajá,9.50,Geral,FALSE,FALSE,TRUE
produtos/alcool_zupp_54_gl.png,alcool ZUPP 54 gl,10.50,Geral,FALSE,FALSE,TRUE
produtos/alfajor_las_colonias.png,alfajor Las Colonias,4.00,Geral,FALSE,FALSE,TRUE
produtos/algodao_cotondela.png,algodao cotondela,6.50,Geral,FALSE,FALSE,TRUE
produtos/amaciante_de_roupas_mon_bijou_500ml.png,amaciante de roupas mon bijou 500ml,11.80,Geral,FALSE,FALSE,TRUE
produtos/amaciante_de_roupas_qboa_500ml.png,amaciante de roupas Qboa 500ml,4.50,Geral,FALSE,FALSE,TRUE
produtos/amendoim_japones_amendupã_60g.png,Amendoim japones Amendupã 60g,3.00,Geral,FALSE,FALSE,TRUE
produtos/amendoin_apimentado_amendupã_50g.png,amendoin apimentado amendupã 50g,3.00,Geral,FALSE,FALSE,TRUE
produtos/amendoin_de_buteco.png,amendoin de buteco,1.50,Geral,FALSE,FALSE,TRUE
produtos/amendoin_japones__pettiz_50g.png,amendoin japones  pettiz 50g,4.00,Geral,FALSE,FALSE,TRUE
produtos/amendoin_sem_pele_amendupã_50g.png,amendoin sem pele amendupã 50g,3.00,Geral,FALSE,FALSE,TRUE
produtos/amendoin_torrado_com_pele_50g.png,amendoin torrado com pele 50g,3.00,Geral,FALSE,FALSE,TRUE
produtos/amendoin_torrado_sem_pele_pettiz.png,amendoin torrado sem pele pettiz,4.00,Geral,FALSE,FALSE,TRUE
produtos/amido_de_milho_apti_200g.png,amido de milho apti 200g,4.50,Geral,FALSE,FALSE,TRUE
produtos/amido_de_milho_apti_500g.png,amido de milho apti 500g,10.00,Geral,FALSE,FALSE,TRUE
produtos/amido_de_milho_kimimo.png,Amido de Milho Kimimo,4.00,Geral,FALSE,FALSE,TRUE
produtos/amido_de_milho_quero_200g.png,Amido de milho Quero 200g,6.00,Geral,FALSE,FALSE,TRUE
produtos/amstel_269ml.png,amstel 269ml,3.50,Geral,FALSE,FALSE,TRUE
produtos/amstel_long_neck.png,Amstel long neck,4.50,Geral,FALSE,FALSE,TRUE
produtos/amstel_lt_sleek_350ml.png,AMSTEL LT SLEEK 350ml,4.00,Geral,FALSE,FALSE,TRUE
produtos/antartica_350ml.png,Antartica 350ml,4.00,Geral,FALSE,FALSE,TRUE
produtos/antartica_sub_zero_269ml.png,Antartica Sub Zero 269ml,2.75,Geral,FALSE,FALSE,TRUE
produtos/aperitivo_aperol_750ml.png,aperitivo Aperol 750ml,50.00,Geral,FALSE,FALSE,TRUE
produtos/arroz_camil_1kg.png,arroz camil 1KG,7.50,Geral,FALSE,FALSE,TRUE
produtos/arroz_coradini_1kg.png,arroz Coradini 1kg,7.50,Geral,FALSE,FALSE,TRUE
produtos/arroz_flora_1kg.png,arroz flora 1kg,7.50,Geral,FALSE,FALSE,TRUE
produtos/arroz_guacira_1kg.png,arroz guacira 1kg,8.50,Geral,FALSE,FALSE,TRUE
produtos/arroz_prato_pratofino_1k.png,arroz prato pratofino 1k,8.99,Geral,FALSE,FALSE,TRUE
produtos/arroz_tio_urbano_1kg.png,Arroz tio Urbano 1kg,8.50,Geral,FALSE,FALSE,TRUE
produtos/azeitona_com_caroco_100g.png,azeitona com caroco 100g,5.50,Geral,FALSE,FALSE,TRUE
produtos/azeitona_la_violetera_220g.png,azeitona la violetera 220g,9.00,Geral,FALSE,FALSE,TRUE
produtos/azeitona_sem_caroço_donana_320g.png,azeitona sem caroço Donana 320g,10.50,Geral,FALSE,FALSE,TRUE
produtos/bacon_crant_60g.png,Bacon Crant 60g,3.50,Geral,FALSE,FALSE,TRUE
produtos/bala_hortela.png,bala hortela,0.20,Geral,FALSE,FALSE,TRUE
produtos/bala_mole.png,bala mole,0.20,Geral,FALSE,FALSE,TRUE
produtos/barbeador_bic.png,barbeador bic,6.00,Geral,FALSE,FALSE,TRUE
produtos/barra_chocolate_alpino_ao_leite.png,barra chocolate alpino ao leite,11.00,Geral,FALSE,FALSE,TRUE
produtos/barra_chocolate_branco_garoto.png,barra chocolate branco garoto,10.00,Geral,FALSE,FALSE,TRUE
produtos/barra_chocolate_caju.png,barra chocolate caju,10.00,Geral,FALSE,FALSE,TRUE
produtos/barra_chocolate_diamante_negro.png,barra chocolate diamante negro,11.00,Geral,FALSE,FALSE,TRUE
produtos/barra_chocolate_garoto_ao_leite.png,barra chocolate garoto ao leite,10.00,Geral,FALSE,FALSE,TRUE
produtos/barra_chocolate_garoto_crunch.png,barra chocolate garoto crunch,11.00,Geral,FALSE,FALSE,TRUE
produtos/barra_chocolate_garoto_meio_amargo.png,barra chocolate garoto meio amargo,11.00,Geral,FALSE,FALSE,TRUE
produtos/barra_chocolate_garoto_negresco.png,barra chocolate garoto negresco,10.00,Geral,FALSE,FALSE,TRUE
produtos/barra_chocolate_lacta_amaro.png,barra chocolate lacta amaro,11.00,Geral,FALSE,FALSE,TRUE
produtos/barra_chocolate_lacta_diamante_negro.png,barra chocolate lacta diamante negro,11.00,Geral,FALSE,FALSE,TRUE
produtos/barra_chocolate_lacta_oreo.png,barra chocolate lacta oreo,11.00,Geral,FALSE,FALSE,TRUE
produtos/barra_chocolate_lacta_shot.png,barra chocolate lacta shot,11.00,Geral,FALSE,FALSE,TRUE
produtos/barra_chocolate_nestle_charge_recheado.png,barra chocolate nestle charge recheado,11.00,Geral,FALSE,FALSE,TRUE
